bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,time_placed_iso,time_settled_iso,bet_info,tags,sports,leagues
sample-011,Dabble,parlay,SETTLED_WIN,6,,,10,50.00,09/04/2024 16:00:00 GMT,09/04/2024 21:00:00 GMT,2024-09-04T16:00:00.000Z,2024-09-04T21:00:00.000Z,Under 14.5 Tony Pollard rushing-attempts New York Jets @ Tennessee Titans | Over 0.5 Freddy Fermin hits San Diego Padres @ San Francisco Giants | Over 27.5 Jaxson Dart rushing-yards Dallas Cowboys @ New York Giants,,American Football | Baseball,NFL | MLB
sample-012,Rebet,straight,SETTLED_LOSS,1.794,1.6993006993006992,0.0557,15,-15.00,09/04/2024 23:00:00 GMT,09/05/2024 04:00:00 GMT,2024-09-04T23:00:00.000Z,2024-09-05T04:00:00.000Z,Bayern Munich (-1.5) 1st half - corner handicap Bayern Munich @ SV 07 Elversberg,,Soccer,Bundesliga
sample-013,Courtside,parlay,SETTLED_LOSS,8.84,,,20,-20.00,09/05/2024 06:00:00 GMT,09/05/2024 11:00:00 GMT,2024-09-05T06:00:00.000Z,2024-09-05T11:00:00.000Z,Trey McBride over 0.5 Player Touchdowns Arizona Cardinals @ Los Angeles Chargers | Ashton Jeanty over 0.5 Player Touchdowns Miami Dolphins @ Las Vegas Raiders | De'Von Achane over 0.5 Player Touchdowns Miami Dolphins @ Las Vegas Raiders,,American Football,NFL
sample-014,Courtside,straight,SETTLED_LOSS,2.8,2.6,0.0769,5,-5.00,09/05/2024 13:00:00 GMT,09/05/2024 18:00:00 GMT,2024-09-05T13:00:00.000Z,2024-09-05T18:00:00.000Z,Tyler Nubin over 2.5 Player Assists Dallas Cowboys @ New York Giants,,American Football,NFL
sample-015,Courtside,straight,SETTLED_LOSS,2.8,2.6,0.0769,25,-25.00,09/05/2024 20:00:00 GMT,09/06/2024 01:00:00 GMT,2024-09-05T20:00:00.000Z,2024-09-06T01:00:00.000Z,Tyler Nubin over 2.5 Player Assists Dallas Cowboys @ New York Giants,,American Football,NFL
sample-016,Underdog,parlay,SETTLED_WIN,6,10.78956228956229,-0.4439,10,50.00,09/06/2024 03:00:00 GMT,09/06/2024 08:00:00 GMT,2024-09-06T03:00:00.000Z,2024-09-06T08:00:00.000Z,Higher 1.5 Corbin Carroll Hits + Runs + RBIs O/U TEX @ AZ | Lower 9.5 Jeremiyah Love Rush Attempts O/U ARI @ LAC | Higher 0.5 Malik Willis INTs Thrown O/U MIA @ LV | Higher 4.5 Logan Webb Strikeouts O/U SD @ SF,,Baseball | American Football,MLB | NFL
sample-017,Fliff,straight,SETTLED_VOID,3.55,,,15,0.00,09/06/2024 10:00:00 GMT,09/06/2024 15:00:00 GMT,2024-09-06T10:00:00.000Z,2024-09-06T15:00:00.000Z,Hollywood Brown Over 1.5 RECEPTIONS WSH Commanders vs PHI Eagles,,American Football,NFL
sample-018,Fliff,straight,SETTLED_LOSS,2.65,2.85,-0.0702,20,-20.00,09/06/2024 17:00:00 GMT,09/06/2024 22:00:00 GMT,2024-09-06T17:00:00.000Z,2024-09-06T22:00:00.000Z,Odell Beckham Jr. Over 1.5 RECEPTIONS DAL Cowboys vs NY Giants,,American Football,NFL
sample-019,Rebet,straight,SETTLED_LOSS,2.3,,,5,-5.00,09/07/2024 00:00:00 GMT,09/07/2024 05:00:00 GMT,2024-09-07T00:00:00.000Z,2024-09-07T05:00:00.000Z,over 15.5 Total hits (incl. extra innings) Kansas City Royals @ Boston Red Sox,,Baseball,MLB
sample-020,Fliff,straight,SETTLED_WIN,1.9090909090909092,1.8333333333333335,0.0413,25,22.73,09/07/2024 07:00:00 GMT,09/07/2024 12:00:00 GMT,2024-09-07T07:00:00.000Z,2024-09-07T12:00:00.000Z,Malik Nabers Over 4.5 RECEPTIONS DAL Cowboys vs NY Giants,,American Football,NFL
